id,generated_id,voted_for,category,voted_id
150,fnxra5bnbn,JOTI,Best Comedian,
151,yhhtlyymt3,JOTI,Best Comedian,
153,luy5dxgbdz,JOTI,Best Comedian,
155,tbvbhtriqx,GLADNESS KIFALUKA,Best Comedian,
159,269iqnhs7w,JOTI,Best Comedian,
160,zdmyr5v09v,JAMBO NA VIJAMBO,Best Series Comedy(online ,
161,zdmyr5v09v,HASSAN KAZO - CHA UROHO,Best Comedian,
162,gfwkdgcjju,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
163,utbuioz9rn,GODLIVER GODIAN - JUA KALI,Best Actress,
164,3q0k6hr5pr,HASSAN KAZO - CHA UROHO,Best Comedian,
165,4tv1m6vb4e,HASSAN KAZO - CHA UROHO,Best Comedian,
166,ucxi5z3v12,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
167,jrs8vj2ulg,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
168,4cyaplpzx8,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
169,fe2w066rfh,HASSAN KAZO - CHA UROHO,Best Comedian,
170,8kzo7on946,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
171,umbr3twuti,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
172,fe2w066rfh,JAMBO NA VIJAMBO,Best Series Comedy(online ,
173,qlxfvcytg5,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
174,0cx268v1ig,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
175,gm8ejazptf,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
176,qhu84i60pn,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
177,3poeuwzajb,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
178,0mc18qluz1,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
179,01l2ud6tkj,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
180,6e1lyta60y,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
181,l15wjz5ko9,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
182,null,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
183,000fo53yzs,HASSAN KAZO - CHA UROHO,Best Comedian,
184,m3ccsn5gwh,HAIKUFUMA,Best Series,
185,bn5n6qkhjc,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
186,y6j8zrq2if,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
187,y6j8zrq2if,SALUNI YA MAMA KIMBO,Best Comedy,
188,m3ccsn5gwh,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
189,y6j8zrq2if,JOTI,Best Comedian,
190,kd5hc6mr5w,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
191,y6j8zrq2if,SADAM NAWANDA - HAIKUFUMA,Best Upcoming Actor,
192,y6j8zrq2if,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
193,y6j8zrq2if,HAIKUFUMA,Best Series,
194,y6j8zrq2if,NYARA,Best Feature Film,
195,y6j8zrq2if,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
196,y6j8zrq2if,SALUNI YA MAMA KIMBO,Best Series Comedy(online ,
197,y6j8zrq2if,JOHARI THABITI - MALUPELUPE,Best Actress,
198,y6j8zrq2if,BERTHA ABDALLAH - NYARA,Best Upcoming Actress,
199,htugtxiize,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
200,ucwyyjmbu7,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
201,000fo53yzs,JAMBO NA VIJAMBO,Best Series Comedy(online ,
202,hd3k9n3qer,NURU YA MAISHA,Best Feature Film,
203,hd3k9n3qer,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
204,5chu3c4qrq,HASSAN KAZO - CHA UROHO,Best Comedian,
205,hucxkxkld5,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
206,caogzv9ldx,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
207,cn7iu68j8j,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
208,caogzv9ldx,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
209,k8sn0b54st,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
210,ajx59hco01,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
211,yjpdspl3e4,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
212,hd3k9n3qer,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
213,i7d3dyl70n,HASSAN KAZO - CHA UROHO,Best Comedian,
214,yz7wwsvlkg,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
215,o64td3t5c3,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
216,fdo3pbsvib,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
217,ql5djx6lln,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
218,ql5djx6lln,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
219,8wu529n04n,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
220,ql5djx6lln,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
221,fdo3pbsvib,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
222,8wu529n04n,NURU YA MAISHA,Best Feature Film,
223,67q6ngtif1,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
224,fdo3pbsvib,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
225,fqoim5w7ok,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
226,67q6ngtif1,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
227,67q6ngtif1,UGONJWA WA KIFO,Best Feature Film,
228,ql5djx6lln,UGONJWA WA KIFO,Best Feature Film,
229,k8sn0b54st,MAGEUZI EMMANUEL - JANGA,Best Upcoming Actor,
230,knuoc3p25l,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
231,67q6ngtif1,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
232,hd3k9n3qer,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
233,snhmbqn9ok,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
234,foa4uqi6c7,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
235,plpcieq59g,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
236,dsy5scqu31,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
237,chxwtzxcv5,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
238,d0l8v6s96q,HASSAN KAZO - CHA UROHO,Best Comedian,
239,sb5s083zwh,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
240,d0l8v6s96q,JAMBO NA VIJAMBO,Best Series Comedy(online ,
241,m638xw0n0j,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
242,sb5s083zwh,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
243,3zf181pt6s,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
244,801hu8qz89,PASUA KICHWA,Best Comedy,
245,801hu8qz89,PASUA KICHWA,Best Series Comedy(online ,
246,3zf181pt6s,UGONJWA WA KIFO,Best Feature Film,
247,3zf181pt6s,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
248,lvwqub7t18,EMMANUEL GEMBE - MWANDISHI,Best Upcoming Actor,
249,3zf181pt6s,GODLIVER GODIAN - JUA KALI,Best Actress,
250,8i6sih7l4k,UGONJWA WA KIFO,Best Feature Film,
251,3zf181pt6s,JOTI,Best Comedian,
252,d0l8v6s96q,JUA KALI,Best Series,
253,3zf181pt6s,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
254,kxofrp01rj,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
255,null,NURU YA MAISHA,Best Feature Film,
256,3zf181pt6s,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
257,bvdos3afpi,OBAMBO,Best Feature Film,
258,3zf181pt6s,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
259,c6lo1haeey,HASSAN KAZO - CHA UROHO,Best Comedian,
260,3zf181pt6s,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
261,cn5egiipye,UGONJWA WA KIFO,Best Feature Film,
262,801hu8qz89,PROFESA MAFINGO,Best Comedian,
263,monyrkcpe5,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
264,kxofrp01rj,NURU YA MAISHA,Best Feature Film,
265,3zf181pt6s,AHADI,Best Series,
266,nbl3bquymr,UGONJWA WA KIFO,Best Feature Film,
267,monyrkcpe5,SALUNI YA MAMA KIMBO,Best Comedy,
268,kxofrp01rj,SALUM AHMEDI  - KESHO,Best Actor,
269,monyrkcpe5,AHADI,Best Series,
270,monyrkcpe5,SALUNI YA MAMA KIMBO,Best Series Comedy(online ,
271,monyrkcpe5,UGONJWA WA KIFO,Best Feature Film,
272,kxofrp01rj,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
273,monyrkcpe5,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
274,monyrkcpe5,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
275,monyrkcpe5,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
276,kxofrp01rj,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
277,monyrkcpe5,KIMBEMBE,Best Comedian,
278,61d2emg6l5,HASSAN KAZO - CHA UROHO,Best Comedian,
279,d0l8v6s96q,OBAMBO,Best Feature Film,
280,cn5egiipye,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
281,8wu529n04n,SALUM AHMEDI  - KESHO,Best Actor,
282,3gkt17uf0p,PASUA KICHWA,Best Comedy,
283,d0l8v6s96q,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
284,3gkt17uf0p,PASUA KICHWA,Best Series Comedy(online ,
285,8wu529n04n,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
286,244otf7u6j,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
287,3gkt17uf0p,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
288,3gkt17uf0p,OBAMBO,Best Feature Film,
289,eqogy1xbp2,UGONJWA WA KIFO,Best Feature Film,
290,caogzv9ldx,UGONJWA WA KIFO,Best Feature Film,
291,cn5egiipye,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
292,8wu529n04n,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
293,h3r22huwcg,PROFESA MAFINGO,Best Comedian,
294,cn5egiipye,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
295,lvwst2i1cq,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
296,lvwst2i1cq,NURU YA MAISHA,Best Feature Film,
297,kxofrp01rj,JUA KALI,Best Series,
298,bi7fhrw0jr,UGONJWA WA KIFO,Best Feature Film,
299,kxofrp01rj,KIMBEMBE,Best Comedian,
300,bhnryx58js,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
301,o8ti2u330w,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
302,lvwst2i1cq,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
303,djscc5703i,EMMANUEL GEMBE (MWANDISHI) - MWANDISHI,Best Actor Audience Choice,
304,t5v43ax3wi,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
305,ujp027loan,PROFESA MAFINGO,Best Comedian,
306,wq77x0odwv,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
307,crlbnwb1zy,HASSAN KAZO - CHA UROHO,Best Comedian,
308,sw3k8xx19,PROFESA MAFINGO,Best Comedian,
309,fclievlrl7,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
310,3rywp9gcjv,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
311,w8b0221f7x,RASHID MSIGARA - NURU YA MAISHA,Best Upcoming Actor,
312,67q6ngtif1,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
313,w8b0221f7x,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
314,q81u7tzlic,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
315,w8b0221f7x,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
316,ujsf42zv63,JAMBO NA VIJIMAMBO,Best Comedy,
317,ujsf42zv63,JAMBO NA VIJAMBO,Best Series Comedy(online ,
318,w8b0221f7x,JAMBO NA VIJAMBO,Best Series Comedy(online ,
